Roles	Description	Privileges
Defender Agentless VM Scan	Role that provides access to disk snapshot for security analysis.	Yes
Elastic SAN Owner	Allows for full access to all resources under Azure Elastic SAN including changing network security policies to unblock data path access	Yes
Elastic SAN Reader	Allows for control path read access to Azure Elastic SAN	Yes
Desktop Virtualization Virtual Machine Contributor	This role is in preview and subject to change. Provide permission to the Azure Virtual Desktop Resource Provider to create, delete, update, start, and stop virtual machines.	Yes
Desktop Virtualization Power On Off Contributor	Provide permission to the Azure Virtual Desktop Resource Provider to start and stop virtual machines.	Yes
Desktop Virtualization Power On Contributor	Provide permission to the Azure Virtual Desktop Resource Provider to start virtual machines.	Yes
Elastic SAN Volume Group Owner	Allows for full access to a volume group in Azure Elastic SAN including changing network security policies to unblock data path access	Yes
Access Review Operator Service Role	Lets you grant Access Review System app permissions to discover and revoke access as needed by the access review process.	Yes
Artifact Signing Identity Verifier	Manage identity or business verification requests.	Yes
Video Indexer Restricted Viewer	Has access to view and search through all video's insights and transcription in the Video Indexer portal. No access to model customization, embedding of widget, downloading videos, or sharing the account.	Yes
Monitoring Data Reader	Can access the data in an Azure Monitor Workspace.	No
Azure Kubernetes Fleet Manager RBAC Cluster Admin	Grants read/write access to all Kubernetes resources in the fleet-managed hub cluster.	Yes
Azure Kubernetes Fleet Manager RBAC Reader	Grants read-only access to most Kubernetes resources within a namespace in the fleet-managed hub cluster. It does not allow viewing roles or role bindings. This role does not allow viewing Secrets, since reading the contents of Secrets enables access to ServiceAccount credentials in the namespace, which would allow API access as any ServiceAccount in the namespace (a form of privilege escalation).  Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Fleet Manager RBAC Admin	Grants read/write access to Kubernetes resources within a namespace in the fleet-managed hub cluster - provides write permissions on most objects within a a namespace, with the exception of ResourceQuota object and the namespace object itself. Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Fleet Manager RBAC Writer	Grants read/write access to most Kubernetes resources within a namespace in the fleet-managed hub cluster. This role does not allow viewing or modifying roles or role bindings. However, this role allows accessing Secrets as any ServiceAccount in the namespace, so it can be used to gain the API access levels of any ServiceAccount in the namespace.  Applying this role at cluster scope will give access across all namespaces.	Yes
Azure Kubernetes Fleet Manager Contributor Role	Grants read/write access to Azure resources provided by Azure Kubernetes Fleet Manager, including fleets, fleet members, fleet update strategies, fleet update runs, etc.	Yes
Kubernetes Namespace User	Allows a user to read namespace resources and retrieve kubeconfig for the cluster	Yes
Data Labeling - Labeler	Can label data in Labeling.	Yes
Role Based Access Control Administrator	Manage access to Azure resources by assigning roles using Azure RBAC. This role does not allow you to manage access using other ways, such as Azure Policy.	Yes
Template Spec Contributor	Allows full access to Template Spec operations at the assigned scope.	Yes
Template Spec Reader	Allows read access to Template Specs at the assigned scope.	Yes
Microsoft Sentinel Playbook Operator	Microsoft Sentinel Playbook Operator	Yes
Deployment Environments User	Provides access to manage environment resources.	Yes
Azure Spring Apps Connect Role	Azure Spring Apps Connect Role	No
Azure Spring Apps Remote Debugging Role	Azure Spring Apps Remote Debugging Role	No
AzureML Compute Operator	Can access and perform CRUD operations on Machine Learning Services managed compute resources (including Notebook VMs).	Yes
AzureML Registry User	Can perform all actions on Machine Learning Services Registry assets as well as get Registry resources.	Yes
Azure Center for SAP solutions service role	Azure Center for SAP solutions service role - This role is intended to be used for providing the permissions to user assigned managed identity. Azure Center for SAP solutions will use this identity to deploy and manage SAP systems.	Yes
Azure Center for SAP solutions reader	This role provides read access to all capabilities of Azure Center for SAP solutions.	Yes
Azure Center for SAP solutions administrator	This role provides read and write access to all capabilities of Azure Center for SAP solutions.	Yes
AppGw for Containers Configuration Manager	Allows access and configuration updates to Application Gateway for Containers resource.	Yes
FHIR SMART User	Role allows user to access FHIR Service according to SMART on FHIR specification	No
Cognitive Services OpenAI Contributor	Full access including the ability to fine-tune, deploy and generate text	Yes
Cognitive Services OpenAI User	Ability to view files, models, deployments. Readers can't make any changes They can inference and create images	Yes
Azure impact Reporter role	built-in role for azure impact write access	Yes
Impact Reader	Allows read-only access to reported impacts and impact categories	Yes
Azure Kubernetes Service Cluster Monitoring User	List cluster monitoring user credential action.	Yes
ContainerApp Reader	View all containerapp resources, but does not allow you to make any changes.	Yes
Azure Connected Machine Resource Manager	Custom Role for AzureStackHCI RP to manage hybrid compute machines and hybrid connectivity endpoints in a resource group	Yes
SqlDb Migration Role	Role for SqlDb migration	Yes
Bayer Ag Powered Services GDU Solution	Provide access to GDU Solution by Bayer Ag Powered Services	No
Bayer Ag Powered Services Imagery Solution	Provide access to Imagery Solution by Bayer Ag Powered Services	No
Azure Center for SAP solutions Service role for management	This role has permissions that the user assigned managed identity must have to enable registration for the existing systems.	No
Azure Center for SAP solutions Management role	This role has permissions which allow users to register existing systems, view and manage systems.	No
Defender Kubernetes API Access	Grants Microsoft Defender for Cloud access to Azure Kubernetes Services	Yes
Azure Usage Billing Data Sender	Azure Usage Billing shared BuiltIn role to be used for all Customer Account Authentication	No
Defender Registry Access	Grants Microsoft Defender for Cloud access to Azure Container Registry for security assessment of container images	Yes
SqlMI Migration Role	Role for SqlMI migration	Yes
Bayer Ag Powered Services CWUM Solution	Provide access to CWUM Solution by Bayer Ag Powered Services	No
SqlVM Migration Role	Role for SqlVM migration	Yes
Azure Front Door Secret Contributor	For internal use within Azure. Can manage Azure Front Door secrets, but can't grant access to other users.	Yes
Azure Front Door Domain Contributor	For internal use within Azure. Can manage Azure Front Door domains, but can't grant access to other users.	Yes
Azure Front Door Domain Reader	For internal use within Azure. Can view Azure Front Door domains, but can't make changes.	Yes
Azure Front Door Secret Reader	For internal use within Azure. Can view Azure Front Door secrets, but can't make changes.	Yes
LocalRulestacksAdministrator role	Allows users to create, modify, describe, or delete Rulestacks.	Yes
MySQL Backup And Export Operator	Grants full access to manage backup and export resources	Yes
Azure Stack HCI Administrator	Grants full access to the cluster and its resources, including the ability to register Azure Stack HCI and assign others as Azure Arc HCI VM Contributor and/or Azure Arc HCI VM Reader	Yes
LocalNGFirewallAdministrator role	Allows user to create, modify, describe, or delete NGFirewalls.	Yes
Azure Extension for SQL Server Deployment	Microsoft.AzureArcData service role to enable deployment of Azure Extension for SQL Server	Yes
Azure Maps Data Read and Batch Role	This role can be used to assign read and batch actions on Azure Maps.	No
API Management Workspace API Developer	Has read access to entities in the workspace and read and write access to entities for editing APIs. This role should be assigned on the workspace scope.	Yes
API Management Workspace Contributor	Can manage the workspace and view, but not modify its members. This role should be assigned on the workspace scope.	Yes
API Management Workspace Reader	Has read-only access to entities in the workspace. This role should be assigned on the workspace scope.	Yes
API Management Workspace API Product Manager	Has read access to entities in the workspace and read and write access to entities for publishing APIs. This role should be assigned on the workspace scope.	Yes
API Management Service Workspace API Developer	Has read access to tags and products and write access to allow: assigning APIs to products, assigning tags to products and APIs. This role should be assigned on the service scope.	Yes
API Management Service Workspace API Product Manager	Has the same access as API Management Service Workspace API Developer as well as read access to users and write access to allow assigning users to groups. This role should be assigned on the service scope.	Yes
Storage File Data Privileged Contributor	Customer has read, write, delete and modify NTFS permission access on Azure Storage file shares.	No
Storage File Data Privileged Reader	Customer has read access on Azure Storage file shares.	No
Windows 365 Network User	This role is used by Windows 365 to read virtual networks and join the designated virtual networks.	Yes
Windows365SubscriptionReader	Read subscriptions, images, azure firewalls. This role is used in Windows365 scenarios.	Yes
Windows 365 Network Interface Contributor	This role is used by Windows 365 to provision required network resources and join Microsoft-hosted VMs to network interfaces.	Yes
App Compliance Automation Reader	Allows read-only access to App Compliance Automation tool for Microsoft 365	Yes
App Compliance Automation Administrator	Allows managing App Compliance Automation tool for Microsoft 365	Yes
Azure Sphere Contributor	Allows user read and write access to Azure Sphere resources.	Yes
SaaS Hub Contributor	SaaS Hub contributor can manage SaaS Hub resource	Yes
Azure Sphere Publisher	Allows user to read and download Azure Sphere resources and upload images.	Yes
Azure Sphere Reader	Allows user to read Azure Sphere resources.	Yes
Azure Machine Learning Workspace Connection Secrets Reader	Can list workspace connection secrets	Yes
Procurement Contributor	Lets you manage the procurement of products and services.	Yes
Cognitive Search Serverless Data Reader (Deprecated)	This role has been deprecated	No
Cognitive Search Serverless Data Contributor (Deprecated)	This role has been deprecated	No
Community Owner Role	Community Owner Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
Firmware Analysis Admin	Administrative user that can upload/view firmwares & configure firmware workspaces	Yes
Key Vault Data Access Administrator	Manage access to Azure Key Vault by adding or removing role assignments for the Key Vault Administrator, Key Vault Certificates Officer, Key Vault Crypto Officer, Key Vault Crypto Service Encryption User, Key Vault Crypto User, Key Vault Reader, Key Vault Secrets Officer, or Key Vault Secrets User roles. Includes an ABAC condition to constrain role assignments.	Yes
Defender for Storage Data Scanner	Grants access to read blobs and update index tags. This role is used by the data scanner of Defender for Storage.	Yes
Compute Diagnostics Role	Grants permissions to execute diagnostics provided by Compute Diagnostic Service for Compute Resources.	Yes
Elastic SAN Network Admin	Allows access to create Private Endpoints on SAN resources, and to read SAN resources	Yes
Cognitive Services Usages Reader	Minimal permission to view Cognitive Services usages.	Yes
PostgreSQL Flexible Server Long Term Retention Backup Role	Role to allow backup vault to access PostgreSQL Flexible Server Resource APIs for Long Term Retention Backup.	Yes
Search Parameter Manager	Role allows user or principal access to $status and $reindex to update search parameters	No
Virtual Machine Data Access Administrator (preview)	Manage access to Virtual Machines by adding or removing role assignments for the Virtual Machine Administrator Login and Virtual Machine User Login roles. Includes an ABAC condition to constrain role assignments.	Yes
Logic Apps Standard Contributor (Preview)	You can manage all aspects of a Standard logic app and workflows. You can't change access or ownership.	Yes
Logic Apps Standard Operator (Preview)	You can enable and disable the logic app, resubmit workflow runs, as well as create connections. You can't edit workflows or settings.	Yes
Logic Apps Standard Reader (Preview)	You have read-only access to all resources in a Standard logic app and workflows, including the workflow runs and their history.	Yes
Logic Apps Standard Developer (Preview)	You can create and edit workflows, connections, and settings for a Standard logic app. You can't make changes outside the workflow scope.	Yes
IPAM Pool User	Read IPAM Pools and child resources. Create and remove associations. This role is in preview and subject to change.	Yes
SpatialMapsAccounts Account Owner	Lets you manage data in your account, including deleting them	No
Azure Resource Notifications System Topics Subscriber	Lets you create system topics and event subscriptions on all system topics exposed currently and in the future by Azure Resource Notifications	Yes
Elastic SAN Volume Importer	Allows for Importing Elastic San Volume	Yes
Elastic SAN Snapshot Exporter	Allows for creating and exporting Snapshot of Elastic San Volume	Yes
Community Contributor Role	Community Contributor Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
EventGrid TopicSpaces Publisher	Lets you publish messages on topicspaces.	Yes
EventGrid TopicSpaces Subscriber	Lets you subscribe messages on topicspaces.	Yes
Data Boundary Tenant Administrator	Allows tenant level administration for data boundaries.	Yes
DeID Realtime Data User	Execute requests against DeID realtime endpoint. This role is in preview and subject to change.	No
DeID Batch Data Owner	Create and manage DeID batch jobs. This role is in preview and subject to change.	No
DeID Batch Data Reader	Read DeID batch jobs. This role is in preview and subject to change.	No
Carbon Optimization Reader	Allow read access to Azure Carbon Optimization data	Yes
Landing Zone Management Owner	Microsoft.Sovereign Landing Zone Management Owner allowing to review and modify Landing Zone Configurations as well as reading and adding Landing Zone Registrations. Also enables read-access to policies and management groups for enabling the full user experience of the Sovereign Services RP in the Azure Portal (as otherwise some elements might not be accessible to end users).	Yes
Landing Zone Management Reader	Microsoft.Sovereign Landing Zone Management Reader allowing to review Landing Zone Configurations and corresponding Registrations without the ability to modify. Also enables read-access to policies and management groups for enabling the full user experience of the Sovereign Services RP in the Azure Portal (as otherwise some elements might not be accessible to end users).	Yes
Azure Stack HCI Device Management Role	Microsoft.AzureStackHCI Device Management Role	Yes
Azure Customer Lockbox Approver for Subscription	Can approve Microsoft support requests to access specific resources contained within a subscription, or the subscription itself, when Customer Lockbox for Microsoft Azure is enabled on the tenant where the subscription resides.	Yes
Azure Resource Bridge Deployment Role	Azure Resource Bridge Deployment Role	Yes
Azure Stack HCI VM Contributor	Grants permissions to perform all VM actions	Yes
Azure AI Developer	Can perform all actions within an Azure AI resource besides managing the resource itself.	Yes
Azure Stack HCI VM Reader	Grants permissions to view VMs	Yes
Deployment Environments Reader	Provides read access to environment resources.	Yes
Azure AI Inference Deployment Operator	Can perform all actions required to create a resource deployment within a resource group.	Yes
EventGrid Data Contributor	Allows send and receive access to event grid events.	Yes
EventGrid Data Receiver	Allows receive access to event grid events.	Yes
Connected Cluster Managed Identity CheckAccess Reader	Built-in role that allows a Connected Cluster managed identity to call the checkAccess API	Yes
Advisor Reviews Reader	View reviews for a workload and recommendations linked to them.	Yes
Advisor Reviews Contributor	View reviews for a workload and triage recommendations linked to them.	Yes
AgFood Platform Dataset Admin	Provides access to Dataset APIs	No
Defender for Storage Scanner Operator	Lets you enable and configure Microsoft Defender for Storage's malware scanning and sensitive data discovery features on your storage accounts. Includes an ABAC condition to limit role assignments.	Yes
Azure Front Door Profile Reader	Can view AFD standard and premium profiles and their endpoints, but can't make changes.	Yes
Enclave Reader Role	Enclave Reader Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
Azure Kubernetes Service Hybrid Cluster Admin Role	List cluster admin credential action.	Yes
Azure Kubernetes Service Hybrid Contributor Role	Grants access to read and write Azure Kubernetes Services hybrid clusters	Yes
Azure Kubernetes Service Hybrid Cluster User Role	List cluster user credential action.	Yes
Enclave Owner Role	Enclave Owner Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
Community Reader Role	Community Reader Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
Enclave Contributor Role	Enclave Contributor Role to access the resources of Microsoft.Mission stored with RPSAAS.	Yes
Operator Nexus Key Vault Writer Service Role (Preview)	(Preview) Provides Azure Operator Nexus services the ability to write to a Key Vault. This role is in preview and subject to change.	Yes
Storage Account Encryption Scope Contributor Role	Allows management of Encryption Scopes on a Storage Account	Yes
Key Vault Crypto Service Release User	Release keys. Only works for key vaults that use the 'Azure role-based access control' permission model.	No
Kubernetes Runtime Storage Class Contributor Role	Read, write, and delete Kubernetes Runtime storage classes in an Arc connected Kubernetes cluster	Yes
Azure Programmable Connectivity Gateway User	Allows access to all Gateway dataplane APIs.	Yes
Key Vault Certificate User	Read certificate contents. Only works for key vaults that use the 'Azure role-based access control' permission model.	No
Azure Spring Apps Managed Components Log Reader Role	Read real-time logs for all managed components in Azure Spring Apps	No
Azure Spring Apps Spring Cloud Gateway Log Reader Role	Read real-time logs for Spring Cloud Gateway in Azure Spring Apps	Yes
Azure API Center Data Reader	Allows for access to Azure API Center data plane read operations.	No
Azure Spring Apps Application Configuration Service Log Reader Role	Read real-time logs for Application Configuration Service in Azure Spring Apps	Yes
Azure Edge On-Site Deployment Engineer	Grants you access to take actions as an on-site person to assist in the provisioning of an edge device	Yes
Azure impact-insight reader	built-in role for azure impact-insight read access	Yes
Defender Kubernetes Agent Operator	Grants Microsoft Defender for Cloud permissions to provision the Kubernetes defender security agent	Yes
Azure Red Hat OpenShift Image Registry Operator	Enables permissions for the operator to manage a singleton instance of the OpenShift image registry. It manages all configuration of the registry, including creating storage.	Yes
Azure Red Hat OpenShift Service Operator	Maintain machine health, network configuration, monitoring, and other features that are specific to an OpenShift cluster's continued functionality as a managed service.	Yes
Azure Red Hat OpenShift Network Operator	Install and upgrade the networking components on an OpenShift cluster.	Yes
Azure Red Hat OpenShift Disk Storage Operator	Install Container Storage Interface (CSI) drivers that enable your cluster to use Azure Disks. Set OpenShift cluster-wide storage defaults to ensure a default storageclass exists for clusters.	Yes
Azure Red Hat OpenShift Cluster Ingress Operator	Manage and configure the OpenShift router.	Yes
Azure Red Hat OpenShift File Storage Operator	Install Container Storage Interface (CSI) drivers that enable your cluster to use Azure Files. Set OpenShift cluster-wide storage defaults to ensure a default storageclass exists for clusters.	Yes
Azure Red Hat OpenShift Cloud Controller Manager	Manage and update the cloud controller manager deployed on top of OpenShift.	Yes
Azure Red Hat OpenShift Machine API Operator	Manage the lifecycle of specific-purpose custom resource definitions (CRD), controllers, and Azure RBAC objects that extend the Kubernetes API to declares the desired state of machines in a cluster.	Yes
Azure Sphere Owner	Allows user read and write access to Azure Sphere resources and RBAC configuration, includes an ABAC condition to constrain role assignments.	Yes
GroupQuota Reader	Read GroupQuota requests, get GroupQuota request status, and get groupQuotaLimits.	Yes
GroupQuota Request Operator	Read and create GroupQuota requests, get GroupQuota request status, and get groupQuotaLimits.	Yes
Bayer Ag Powered Services Smart Boundary Solution User Role	Provide access to Smart Boundary Solution by Bayer Ag Powered Services	No
Defender CSPM Storage Scanner Operator	Lets you enable and configure Microsoft Defender CSPM's sensitive data discovery feature on your storage accounts. Includes an ABAC condition to limit role assignments.	Yes
Advisor Recommendations Contributor (Assessments and Reviews)	View assessment recommendations, accepted review recommendations, and manage the recommendations lifecycle (mark recommendations as completed, postponed or dismissed, in progress, or not started).	Yes
GeoCatalog Administrator	Grants full access to manage GeoCatalogs, but does not allow you to assign roles in Azure RBAC.	Yes
GeoCatalog Reader	View GeoCatalogs, but does not allow you to make any changes.	Yes
Healthcare Agent Reader	Users with reader access can sign in, have read-only access to the bot resources, scenarios and configuration setting except for the bot instance keys & secrets (including Authentication, Data Connection and Channels keys) and the end-user inputs (including Feedback, Unrecognized utterances and Conversation logs).	No
Healthcare Agent Admin	Users with admin access can sign in, view and edit all of the bot resources, scenarios and configuration setting including the bot instance keys & secrets.	No
Healthcare Agent Editor	Users with editor access can sign in, view and edit all the bot resources, scenarios and configuration setting except for the bot instance keys & secrets and the end-user inputs (including Feedback, Unrecognized utterances and Conversation logs). A read-only access to the bot skills and channels.	No
Azure Programmable Connectivity Gateway Dataplane User	Allows access to all Gateway dataplane APIs.	Yes
Azure AI Enterprise Network Connection Approver	Can approve private endpoint connections to Azure AI common dependency resources	Yes
Azure Container Storage Operator	Role required by a Managed Identity for Azure Container Storage operations	Yes
Azure Container Storage Contributor	Lets you install Azure Container Storage and manage its storage resources	Yes
Azure Container Storage Owner	Lets you install Azure Container Storage and grants access to its storage resources	Yes
Azure Kubernetes Service Arc Contributor Role	Grants access to read and write Azure Kubernetes Services hybrid clusters	Yes
Azure Kubernetes Service Arc Cluster User Role	List cluster user credential action.	Yes
Azure Kubernetes Service Arc Cluster Admin Role	List cluster admin credential action.	Yes
Backup MUA Operator	Backup MultiUser-Authorization. Allows user to perform critical operation protected by resourceguard	Yes
Backup MUA Admin	Backup MultiUser-Authorization. Can create/delete ResourceGuard 	Yes
Savings plan Purchaser	Lets you purchase savings plans	Yes
CrossConnectionReader	Allows for read access to ExpressRoute CrossConnections	Yes
CrossConnectionManager	Allows for read, write access to ExpressRoute CrossConnections	Yes
Defender Containers Sensor	Grants Microsoft Defender for Cloud access to Azure Kubernetes Services	Yes
Azure API Center Service Contributor	Allows managing Azure API Center service.	Yes
Azure API Center Compliance Manager	Allows managing API compliance in Azure API Center service.	Yes
Azure API Center Service Reader	Allows read-only access to Azure API Center service.	Yes
Oracle.Database VmCluster Administrator Built-in Role	Grants full access to manage all VmCluster resources	Yes
Oracle.Database Exadata Infrastructure Administrator Built-in Role	Grants full access to manage all Exadata Infrastructure resources	Yes
Oracle Subscriptions Manager Built-in Role	Grants full access to manage all Oracle Subscriptions resources	Yes
Oracle.Database Owner Built-in Role	Grants full access to manage all Oracle.Database resources	Yes
Bayer Ag Powered Services Historical Weather Data Solution User Role	Provide access to Historical Weather Data Solution by Bayer Ag Powered Services	No
Oracle.Database Reader Built-in Role	Grants read access to all Oracle.Database resources	Yes
Azure Messaging Catalog Data Owner	Allows for full access to Azure Messaging Catalog resources.	Yes
Azure Spring Apps Application Configuration Service Config File Pattern Reader Role	Read content of config file pattern for Application Configuration Service in Azure Spring Apps	Yes
Azure Hybrid Database Administrator - Read Only Service Role	Read only access to Azure hybrid database services resources.	Yes
Microsoft Sentinel Business Applications Agent Operator	List and update actions on a business applications system. This role is in preview and subject to change.	Yes
Azure ContainerApps Session Executor	Create and execute sessions in a sessionPool	Yes
Microsoft.Edge Winfields federated subscription read access role	Microsoft.Edge Winfields role for read access on federated subscriptions	Yes
Azure Red Hat OpenShift Federated Credential	Create, update and delete federated credentials on user assigned managed identities in order to build a trust relationship between the managed identity, OpenID Connect (OIDC), and the service account.	Yes
Bayer Ag Powered Services Crop Id Solution User Role	Provide access to Crop Id Solution by Bayer Ag Powered Services	No
Scheduled Events Contributor	Provides access to scheduled event actions	Yes
Compute Recommendations Role	Grants permissions to call Compute Recommendations APIs provided by Compute Diagnostic Resource Provider service.	Yes
Azure Spring Apps Job Execution Instance List Role	List instances for job executions in Azure Spring Apps	No
Azure Spring Apps Job Log Reader Role	Read real-time logs for jobs in Azure Spring Apps	Yes
Nexus Network Fabric Service Writer	Read-write access to Nexus Network Fabric Service	Yes
Nexus Network Fabric Service Reader	Read-only access to Nexus Network Fabric Service	Yes
Azure Deployment Stack Owner	Allows a user to manage deployment stacks, including those with deny assignments.	Yes
Azure Deployment Stack Contributor	Allows a user to manage deployment stacks, but cannot create or delete deny assignments within the deployment stack.	Yes
Azure Spring Apps Spring Cloud Config Server Log Reader Role	Read real-time logs for Spring Cloud Config Server in Azure Spring Apps	Yes
Container Registry Repository Catalog Lister	Allows for listing all repositories in an Azure Container Registry.	No
Container Registry Repository Reader	Allows for read access to Azure Container Registry repositories, but excluding catalog listing.	No
Container Registry Repository Writer	Allows for read and write access to Azure Container Registry repositories, but excluding catalog listing.	No
Container Registry Repository Contributor	Allows for read, write, and delete access to Azure Container Registry repositories, but excluding catalog listing.	No
Locks Contributor	Can Manage Locks Operations.	Yes
DeID Data Owner	Full access to DeID data. This role is in preview and subject to change	No
CloudTest Leased VM Reader	Can view CloudTest leased VM's credentials	Yes
Standby Container Group Pool Contributor	Allows users to manage standby container group pool resources.	Yes
ToolchainOrchestrator Admin Role	Grant full access to manage all Toolchain orchestrator resources.	Yes
ToolchainOrchestrator Viewer Role	Grant access to view all Toolchain orchestrator resources.	Yes
Compute Gallery Artifacts Publisher	This is the role for publishing gallery artifacts.	Yes
ProviderHub Reader	Allows you to view all Microsoft.ProviderHub resources created through the Resource Provider Platform, but does not allow you to make any changes to the resources.	Yes
ProviderHub Contributor	Allows you to create and manage Microsoft.ProviderHub resources through the Resource Provider Platform. Does not allow you to assign roles in Azure RBAC.	Yes
Azure Stack HCI Connected InfraVMs	Role of Arc Integration for Azure Stack HCI Infrastructure Virtual Machines.	Yes
VM Restore Operator	Create and Delete resources during VM Restore. This role is in preview and subject to change.	Yes
HDInsight Cluster Admin	Can read, create, modify and delete HDInsight clusters, configuration, extensions, etc.	Yes
Operator Nexus Compute Contributor Role (Preview)	(Preview) Manage and configure Azure Operator Nexus infrastructure resources. This role is in preview and subject to change.	Yes
Azure Container Instances Contributor Role	Grants read/write access to container groups provided by Azure Container Instances	Yes
Connector Reader	Read connectors and their associated resources, such as impacts and insights.	Yes
Transparency Logs Owner	Grants full access to manage Transparency Log resources.	Yes
Disk Encryption Set Operator for Managed Disks	Provides permissions to read, write or delete disk encryption sets which are used for encrypting managed disks with customer managed keys	Yes
Grafana Limited Viewer	View home page.	No
Bayer Ag Powered Services Field Imagery Solution Service Role	Provide access to Field Imagery Solution by Bayer Ag Powered Services	No
Azure Edge Hardware Center Administrator	Grants you access to take actions as an edge order administrator	Yes
Azure AI Administrator	A Built-In Role that has all control plane permissions to work with Azure AI and its dependencies.	Yes
Compute Gallery Image Reader	This is the role for reading gallery images.	Yes
Container Apps SessionPools Reader	Read access to ContainerApps sessionpools.	Yes
Container Apps ManagedEnvironments Contributor	Full management of Container Apps ManagedEnvironments, including creation, deletion, and updates.	Yes
Container Apps ManagedEnvironments Reader	Read access to ContainerApps managedenvironments.	Yes
Container Apps Contributor	Full management of Container Apps, including creation, deletion, and updates.	Yes
Container Apps SessionPools Contributor	Full management of Container Apps SessionPools, including creation, deletion, and updates.	Yes
Container Apps Jobs Reader	Read access to ContainerApps jobs	Yes
Container Apps Operator	Read, logstream and exec into Container Apps.	Yes
Container Apps Jobs Contributor	Full management of Container Apps jobs, including creation, deletion, and updates.	Yes
Durable Task Data Contributor	Durable Task role for all data access operations.	No
KubernetesRuntime Load Balancer Contributor Role	Read, write, and delete load balancers in an Arc connected Kubernetes cluster	Yes
AVS Orchestrator Role	Do not remove this role from your resource group because it is critical to enable your AVS private cloud to operate. If the role is removed, it will cause your AVS private cloud control plane to no longer operate correctly. The role is used to enable the AVS private cloud control plane to create the supporting resources in the resource group of the private clouds attached virtual network and bind them to the attached virtual network. This role is not intended for use cases outside of assignment to the associated AVS identity in your entra-id tenant.	Yes
Service Connector Contributor	Can Manage Service Connector.	Yes
Azure Device Update Agent	Provide full access to all Azure Device Update agent operations	No
Enclave Approver Role	Read all resources in Azure Virtual Enclaves and Approve approval requests within the Enclave	Yes
Key Vault Purge Operator	Allows permanent deletion of soft-deleted vaults.	Yes
Cognitive Services Face Contributor	Full access to perform all Face APIs	Yes
Container Apps Jobs Operator	Read, start, and stop Container Apps jobs.	Yes
Operator Nexus Owner (Preview)	(Preview) This role allows full access to Azure Operator Nexus Network Cloud resources. This role is in preview and subject to change.	Yes
CloudTest Contributor Role	Read, write, delete and perform actions on CloudTest Accounts, CloudTest Pools, 1ES Hosted Pools, 1ES Build Caches and 1ES Images.	Yes
Azure Automanage Contributor	Azure Automanage Contributor	Yes
Azure Bot Service Contributor Role	To perform actions on the bots by copilot studio platform and extensibility team	Yes
App Configuration Reader	Grants permission for read operations for App Configuration resources. This role does not grant access to data plane resources such as key-values, snapshots, and feature flags.	Yes
App Configuration Contributor	Grants permission for all management operations, except purge, for App Configuration resources. This role does not grant access to data plane resources such as key-values, snapshots, and feature flags.	Yes
Service Fabric Managed Cluster Contributor	Deploy and manage your Service Fabric Managed Cluster resources. Includes managed clusters, node types, application types, application type versions, applications, and services.	Yes
Container Registry Data Importer and Data Reader	Provides the ability to import images into a registry through the registry import operation. Provides the ability to list repositories, view images and tags, get manifests, and pull images. Does not provide permissions for importing images through configuring registry transfer pipelines such as import and export pipelines. Does not provide permissions for importing through configuring Artifact Cache or Sync rules.	Yes
Azure Batch Service Orchestration Role	Grants the required permissions to Azure Batch Resource Provider to manage compute and other backing resources in the subscription.	Yes
Microsoft PowerBI Tenant Operations Role	Allows management of tenant operations	Yes
Service Fabric Cluster Contributor	Manage your Service Fabric Cluster resources. Includes clusters, application types, application type versions, applications, and services. You will need additional permissions to deploy and manage the cluster's underlying resources such as virtual machine scale sets, storage accounts, networks, etc.	Yes
Stream Analytics Contributor	Contributor access to Clusters and Streaming Jobs	Yes
Stream Analytics Reader	Read-only access to Clusters and Streaming Jobs	Yes
Durable Task Worker	Used by worker applications to interact with the Durable Task service	No
Portal Dashboard Writer Role	Can write an Azure Portal Dashboard	Yes
Landing Zone Account Reader	Microsoft.Sovereign Landing Zone Account Reader allowing to read Landing Zone Account, Landing Zone Configurations and Landing Zone Registrations. Also enables read-access to policies and management groups for enabling the full user experience of the Sovereign Services RP in the Azure Portal (as otherwise some elements might not be accessible to end users).	Yes
Landing Zone Account Owner	Microsoft.Sovereign Landing Zone Account Owner allowing to review and modify Landing Zone Account, Landing Zone Configurations, as well as reading and adding Landing Zone Registrations. Also enables read-access to policies and management groups for enabling the full user experience of the Sovereign Services RP in the Azure Portal (as otherwise some elements might not be accessible to end users).	Yes
Microsoft.Windows365.CloudPcDelegatedMsis Writer User	Built in role to perform Write operations on CloudPcDelegatedMsis resources.	Yes
Azure Batch Account Reader	Lets you view all resources including pools and jobs in the Batch account.	Yes
Azure Batch Data Contributor	Grants permissions to manage Batch pools and jobs but not to modify accounts.	Yes
Azure Batch Job Submitter	Lets you submit and manage jobs in the Batch account.	Yes
Azure Batch Account Contributor	Grants full access to manage all Batch resources, including Batch accounts, pools and jobs.	Yes
