Roles	Description	Privileges
Private DNS Zone Contributor	Lets you manage private DNS zone resources, but not the virtual networks they are linked to.	Yes
Storage Blob Delegator	Allows for generation of a user delegation key which can be used to sign SAS tokens	Yes
Desktop Virtualization User	Allows user to use the applications in an application group.	No
Storage File Data SMB Share Elevated Contributor	Allows for read, write, delete and modify NTFS permission access in Azure Storage file shares over SMB	No
Blueprint Contributor	Can manage blueprint definitions, but not assign them.	Yes
Blueprint Operator	Can assign existing published blueprints, but cannot create new blueprints. NOTE: this only works if the assignment is done with a user-assigned managed identity.	Yes
Microsoft Sentinel Contributor	Microsoft Sentinel Contributor	Yes
Microsoft Sentinel Responder	Microsoft Sentinel Responder	Yes
Microsoft Sentinel Reader	Microsoft Sentinel Reader	Yes
Policy Insights Data Writer (Preview)	Allows read access to resource policies and write access to resource component policy events.	Yes
SignalR AccessKey Reader	Read SignalR Service Access Keys	Yes
SignalR/Web PubSub Contributor	Create, Read, Update, and Delete SignalR service resources	Yes
Azure Connected Machine Onboarding	Can onboard Azure Connected Machines.	Yes
Managed Services Registration assignment Delete Role	Managed Services Registration Assignment Delete Role allows the managing tenant users to delete the registration assignment assigned to their tenant.	Yes
App Configuration Data Owner	Allows full access to App Configuration data.	No
App Configuration Data Reader	Allows read access to App Configuration data.	No
Kubernetes Cluster - Azure Arc Onboarding	Role definition to authorize any user/service to create connectedClusters resource	Yes
Experimentation Contributor	Experimentation Contributor	Yes
Cognitive Services QnA Maker Reader	Let’s you read and test a KB only.	Yes
Cognitive Services QnA Maker Editor	Let’s you create, edit, import and export a KB. You cannot publish or delete a KB.	Yes
Experimentation Administrator	Experimentation Administrator	Yes
Remote Rendering Administrator	Provides user with conversion, manage session, rendering and diagnostics capabilities for Azure Remote Rendering	No
Remote Rendering Client	Provides user with manage session, rendering and diagnostics capabilities for Azure Remote Rendering.	No
Managed Application Contributor Role	Allows for creating managed application resources.	Yes
Security Assessment Contributor	Lets you push assessments to Security Center	Yes
Tag Contributor	Lets you manage tags on entities, without providing access to the entities themselves.	Yes
Integration Service Environment Developer	Allows developers to create and update workflows, integration accounts and API connections in integration service environments.	Yes
Integration Service Environment Contributor	Lets you manage integration service environments, but not access to them.	Yes
Azure Kubernetes Service Contributor Role	Grants access to read and write Azure Kubernetes Service clusters	Yes
Azure Digital Twins Data Reader	Read-only role for Digital Twins data-plane properties	No
Azure Digital Twins Data Owner	Full access role for Digital Twins data-plane	No
Hierarchy Settings Administrator	Allows users to edit and delete Hierarchy Settings	Yes
FHIR Data Contributor	Role allows user or principal full access to FHIR Data	No
FHIR Data Exporter	Role allows user or principal to read and export FHIR Data	No
FHIR Data Reader	Role allows user or principal to read FHIR Data	No
FHIR Data Writer	Role allows user or principal to read and write FHIR Data	No
Experimentation Reader	Experimentation Reader	Yes
Object Understanding Account Owner	Provides user with ingestion capabilities for Azure Object Understanding.	No
